"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KIAA1199",2020.6939780976,-3.66069630317924,0.234490199760475,-15.6112976445009,6.09839058868629e-55,1.90251491195246e-50
"CDH3",1067.79423944583,-5.50492401707788,0.376628101135938,-14.6163390370358,2.20966825906705e-48,3.44675103390574e-44
"COL11A1",1150.7908785197,-5.83994579502427,0.410333565854932,-14.232191273109,5.78405441673842e-46,6.01483818796628e-42
"WNT2",224.424443854178,-5.57409564383126,0.41432479213208,-13.4534446156298,2.93857735669481e-41,2.2918699449202e-37
"TRIB3",1171.43776587756,-3.82612465014202,0.293912653433274,-13.0178970025551,9.68002713198426e-39,6.03975612873026e-35
"CST1",299.383345914701,-6.62206459785843,0.532252110158596,-12.4415938828035,1.55372216934052e-35,8.07857841948603e-32
"CTHRC1",753.163025887569,-4.0240753362495,0.338167126145855,-11.8996644709748,1.18823932834078e-32,5.29564318946392e-29
"INHBA",1050.62577761133,-5.85916070688652,0.493266998058757,-11.8782743016361,1.53503669205119e-32,5.98606746024011e-29
"ESM1",192.666356674282,-5.6531468996531,0.483656412347794,-11.6883530442846,1.46194077506966e-31,5.06757403998312e-28
"SALL4",92.0688387752765,-3.29848619149901,0.284576504336407,-11.5908591933498,4.58509875638595e-31,1.43041325902973e-27
"ACAN",423.627962756168,-4.19214891052483,0.365324250635915,-11.4751454447046,1.75881685914956e-30,4.98816450498989e-27
"ETV4",805.361213876884,-4.46825177074963,0.391828141215333,-11.4036009687575,4.01174948487587e-30,1.0429545723306e-26
"TMEM132A",915.266139126888,-2.53588585921799,0.224688362716793,-11.2862358715673,1.53469274561046e-29,3.68290842960074e-26
"ENC1",5081.81720203631,-1.62041799668764,0.146772635186842,-11.0403277465506,2.44141010599744e-28,5.44033364834301e-25
"MMP7",334.382938072917,-6.79932916032855,0.616823124294747,-11.0231424415267,2.95557351570289e-28,6.14700179795886e-25
"EGFL6",122.880070663311,-5.03291431224428,0.457559451088331,-10.9994762435203,3.84357811320021e-28,7.49425664984418e-25
"ENSG00000260577.1",93.7821048389579,-5.20406706278752,0.47501056921127,-10.9556868838279,6.24031319939624e-28,1.14517088753861e-24
"COL1A1",27054.5821666073,-3.40771945245735,0.316726350506346,-10.759191481888,5.36386927392205e-27,9.29647942991924e-24
"CLDN1",1325.8345606697,-4.97656380097688,0.471468189637638,-10.5554603902371,4.79284178487944e-26,7.86959395594126e-23
"ENSG00000232803.1",322.360980080781,-3.27466152005827,0.310579353496598,-10.543719288456,5.43077095977283e-26,8.47118808160165e-23
"SLCO4A1",1198.36142472477,-3.2927104755096,0.31479623734336,-10.4598152230076,1.32113050489206e-25,1.9626337314818e-22
