"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"REG1B",4854.81693098692,-8.52275943931794,1.20902378559707,-7.04929013047414,1.798328415396e-12,2.75012017525045e-10
"ENSG00000261650.1",43.0358840644828,-7.14285393826797,1.05061851664122,-6.79871316289315,1.05557742403098e-11,1.25690262967537e-09
"ENSG00000250874.1",12.1718552475277,-7.04322656134568,1.56428248426667,-4.50252856001742,6.71497277075272e-06,0.000101940148675996
"TCN1",340.788339744207,-6.90447123884034,0.748390054596427,-9.22576562373428,2.81542271643373e-20,2.09125577344245e-17
"MMP7",334.382938072917,-6.79932916032855,0.616823124294747,-11.0231424415267,2.95557351570289e-28,6.14700179795886e-25
"CST1",299.383345914701,-6.62206459785843,0.532252110158596,-12.4415938828035,1.55372216934052e-35,8.07857841948603e-32
"KRT6B",292.048457439695,-6.52837844044894,0.843736260525516,-7.73746340637628,1.01419859327503e-14,2.59343881265584e-12
"SLCO1B3",125.018297705416,-6.46227771623729,0.933777904960222,-6.92057252791024,4.49821944755707e-12,6.02278764401021e-10
"CXCL5",3488.26171134647,-6.36095720167749,0.888776902595385,-7.15697852082156,8.24746135238851e-13,1.38331210650787e-10
"ENSG00000214039.4",331.091400747687,-6.26371117206905,0.664838481342153,-9.42140286378142,4.45100815059451e-21,4.06567802926624e-18
"MAGEA3",53.9834077356475,-6.24038731095281,1.35018025946843,-4.62189197863822,3.80256014899615e-06,6.38987205388443e-05
"ENSG00000251026.1",24.0347143503568,-6.10547579409247,0.799426612218161,-7.63731867413279,2.21792069580277e-14,5.12536829236734e-12
"LOC100190940",212.947260805423,-6.09770548154134,0.750402390338422,-8.12591425620506,4.44002832433733e-16,1.53906181815946e-13
"MMP1",8038.86725133456,-5.98875594100425,0.730611866878648,-8.19690483072727,2.46655568308369e-16,9.61864220564522e-14
"MMP3",3723.74534541914,-5.97390042223926,0.747347560671718,-7.99347015579993,1.31192650331632e-15,4.13415869938983e-13
"INHBA",1050.62577761133,-5.85916070688652,0.493266998058757,-11.8782743016361,1.53503669205119e-32,5.98606746024011e-29
"COL11A1",1150.7908785197,-5.83994579502427,0.410333565854932,-14.232191273109,5.78405441673842e-46,6.01483818796628e-42
"ESM1",192.666356674282,-5.6531468996531,0.483656412347794,-11.6883530442846,1.46194077506966e-31,5.06757403998312e-28
"KRT23",433.261979868229,-5.64659330493864,0.585629922157326,-9.64191393113571,5.31869173909999e-22,5.72162848912767e-19
"WNT2",224.424443854178,-5.57409564383126,0.41432479213208,-13.4534446156298,2.93857735669481e-41,2.2918699449202e-37
"ENSG00000234477.1",67.7897926647749,-5.55620376995722,0.714449758558333,-7.77689921985405,7.43237687603005e-15,1.9817765931753e-12
"MAGEA6",86.8844497965188,-5.50775085187112,1.17789294198633,-4.67593501543797,2.92617266309384e-06,5.16041879991738e-05
"CDH3",1067.79423944583,-5.50492401707788,0.376628101135938,-14.6163390370358,2.20966825906705e-48,3.44675103390574e-44
"HCAR3",596.790641108934,-5.50344279302002,0.781306612130815,-7.0438963494892,1.86937226007683e-12,2.8310100193018e-10
"NOTUM",142.088799063001,-5.48724671719038,0.755761912895187,-7.26054941849309,3.85521162508032e-13,6.9925021550948e-11
"LEMD1",31.3599722393096,-5.40263044296411,0.970139306089871,-5.56892232801011,2.56319707125021e-08,9.92109913545818e-07
"HCAR2",842.314853077399,-5.38264020981341,0.827897620250604,-6.50157710102378,7.94822811210421e-11,7.11711703444567e-09
"KRT80",326.574764337599,-5.35899079928002,0.572361307899582,-9.36295085869121,7.7540243260203e-21,6.36584991839093e-18
"KLK6",107.621269653051,-5.27653856329072,0.696271842539841,-7.57827365823543,3.50183164700284e-14,7.63962530710123e-12
"ENSG00000256249.1",424.897014815288,-5.26092883379605,0.809427627897482,-6.49956667214524,8.05516964502353e-11,7.17991792616569e-09
"DSG3",491.144197578448,-5.21472070986824,0.888854035451412,-5.86679083615782,4.44310585875376e-09,2.23928228554994e-07
"CA9",338.64901245749,-5.21216111961175,0.626261625111368,-8.32265767311684,8.60125910417034e-17,3.72685389267781e-14
"ENSG00000260577.1",93.7821048389579,-5.20406706278752,0.47501056921127,-10.9556868838279,6.24031319939624e-28,1.14517088753861e-24
