"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADIPOQ",401.244354164871,6.59414479419721,0.771953398320101,8.54215398046975,1.31742716334894e-17,6.22723866893891e-15
"OTOP2",373.120969453549,5.61550153115872,0.590536677334798,9.50914946807796,1.92227736947631e-21,1.87404022173601e-18
"PLIN1",419.157411059628,5.42800551663518,0.629338186832557,8.62494224918115,6.41250055175001e-18,3.39069118157534e-15
"ADIPOQ-AS1",214.748199822701,5.40188391648422,0.757095722324507,7.13500784273202,9.67816413844771e-13,1.57172144882714e-10
"ENSG00000226482.1",214.748199822701,5.40188391648422,0.757095722324507,7.13500784273202,9.67816413844771e-13,1.57172144882714e-10
"KRT24",47.4975960663194,5.09804125116166,0.687937431788294,7.41061761664763,1.2571257206385e-13,2.45115944417245e-11
"FABP4",382.328180734502,4.96603357358656,0.772915246728627,6.42506871821374,1.31809958941265e-10,1.0792848527797e-08
"PCDH11Y",28.5424914111681,4.7608743357599,1.71554857120202,2.77513234872979,0.00551792477805274,0.0238259791419946
"PGM5-AS1",47.1269906072793,4.63153088197868,0.916682276716511,5.05249310433761,4.36080105714433e-07,1.05870747532865e-05
"RERGL",77.5201113207463,4.62439113098198,0.658449730968328,7.02314985258064,2.16921335986236e-12,3.14757903198261e-10
"ENSG00000261292.1",12.6449033647188,4.6149200127722,0.910101345908031,5.07077594547207,3.96196991943235e-07,9.83306090505417e-06
"MEP1B",374.024139733465,4.58953201538303,0.827045376457442,5.54931101246437,2.86797584925762e-08,1.09379269644609e-06
"AQP8",4067.28046731921,4.53037037472342,0.847212981162337,5.34738073596082,8.9236173921993e-08,2.82056830582008e-06
"CA7",1032.42195270488,4.48412118512965,0.543293154253247,8.25359412321889,1.53700719890459e-16,6.39333514456351e-14
"ENSG00000224958.1",49.0071400392391,4.42969066688793,0.894875647163536,4.95006281702782,7.41895319159864e-07,1.6591332094502e-05
"BEST4",730.687712155741,4.39759352233841,0.509583426904235,8.62978128832444,6.14694007528644e-18,3.30631188842605e-15
"BCHE",263.021410098892,4.25187957761859,0.494769507131816,8.593657281482,8.42440454867679e-18,4.17168490008047e-15
"TUSC5",84.5383153995286,4.17861469182376,0.689446760782915,6.06082286481214,1.35426911901116e-09,8.0474540391983e-08
"SLC17A8",51.9933407250408,4.16615899494166,0.644313747898108,6.46604082022552,1.00603912254365e-10,8.59874041260119e-09
"MYOC",103.135161495806,4.13785216328163,0.662872253450671,6.2423070836673,4.31163398726935e-10,3.02134332671422e-08
"PLIN4",1653.66394361294,4.11138398946313,0.723015345984058,5.68644083738962,1.29714294285293e-08,5.66764263139816e-07
"NPTX1",383.360754503458,4.04441949464234,0.75204426642418,5.37790084335427,7.53592979530358e-08,2.4514953266328e-06
"SLC30A10",339.408849243056,3.98183935134388,0.488176896890173,8.15655017004971,3.44729350119881e-16,1.25052575996394e-13
"PENK",44.4320053307109,3.96402225516502,0.636052165435564,6.23222822054302,4.598468830907e-10,3.14601824819749e-08
"LEP",74.7579866501693,3.91785937971327,0.844811684464937,4.63755349477044,3.52557379883556e-06,6.01023638263786e-05
"SLC6A19",624.340306397075,3.91426605286304,0.713926568989684,5.48272920897499,4.1881383898833e-08,1.50526904780172e-06
"DPP6",104.740932301235,3.91018500957511,0.583315341436842,6.70338105619408,2.03651474243671e-11,2.19079829033786e-09
"SMYD1",146.898698073629,3.85665727338428,0.751055891598304,5.13498038764735,2.82173448264622e-07,7.4412215262142e-06
"PLP1",468.602246107635,3.84556784792686,0.568428973724802,6.76525656798881,1.33073165751257e-11,1.53191274979408e-09
"ASB5",33.485890845101,3.83944027725402,0.928320861253157,4.13589787486957,3.5356941948891e-05,0.000399214809257891
"FIGF",62.7688306618501,3.83604202805826,0.418201080573774,9.17272146402681,4.61225024926381e-20,3.34624118665775e-17
"CA1",7482.63501870477,3.82666972554875,0.724313857202044,5.28316514657169,1.26970834521645e-07,3.80144829613414e-06
"MIR4524B",2.0189905792197,3.79229378720405,0.85624174155575,4.42899896507455,9.46714772331588e-06,0.00013560450299554
"SST",100.83986132482,3.76571857500997,0.57500729627846,6.54899268127953,5.79264699804752e-11,5.5263978103391e-09
"DPT",1679.75297470377,3.756371643776,0.459837168959399,8.16891695005121,3.11170269558256e-16,1.16958781920589e-13
"FLJ35424",53.4548729101203,3.73303621755155,0.864899620144793,4.31614967864895,1.5877433883317e-05,0.000206472824034115
"CIDEA",22.9922523350253,3.72015037508837,0.744883029534613,4.99427457410681,5.9057327259256e-07,1.37186257520999e-05
"TMEM35",199.246192370794,3.71038275505484,0.604643805631961,6.13647691499432,8.43716178792696e-10,5.24330948800712e-08
"SFRP1",907.645025018078,3.70544026968644,0.418249551195,8.859400468212,8.04458936412176e-19,4.8262895075482e-16
"NPY",11.3222581385498,3.68545528286078,0.534599772095878,6.89385868686793,5.42989656700123e-12,7.11749929414863e-10
"WISP2",129.981551522647,3.67684376688605,0.505828234902779,7.26895715418643,3.62273274160235e-13,6.60926276840751e-11
"ENSG00000253151.1",19.5461184577621,3.66411591076466,0.532987031142903,6.8746811773404,6.21286512885907e-12,8.00920468698415e-10
"GCG",607.089961333175,3.63201089318741,0.775781980388628,4.68174175864198,2.84447674048287e-06,5.06040118810956e-05
"EPHA6",85.2137575773871,3.60651351405956,0.653050745719233,5.52256243132768,3.34091028321563e-08,1.24523749229962e-06
"HAND1",138.038528881114,3.59778836674165,1.14941278314281,3.13010993048494,0.00174740897714403,0.00954041264612573
"IGSF10",396.105055862363,3.57234377218155,0.364252482608851,9.80732855022891,1.04703741948643e-22,1.20979356947104e-19
"ATP1A2",612.288771471283,3.55248968858721,0.64068006748637,5.54487312602837,2.94167393638368e-08,1.11508386140172e-06
"ADH1B",2826.66472753702,3.51915007688156,0.574397977599001,6.12667560493806,8.97341603888949e-10,5.53248340247501e-08
"CADM2",110.981554037006,3.51009419193901,0.51635126671087,6.79788047059151,1.06169481125707e-11,1.2593799629957e-09
"ENSG00000272396.1",674.364439031203,3.49457915719742,0.640572364037735,5.45540106533781,4.88624314368533e-08,1.7127654758826e-06
"DHRS7C",12.4112331091594,3.48792195587966,0.568350703637738,6.13691851449317,8.4137514308347e-10,5.23919767241018e-08
"PPP1R1A",52.9037148509096,3.47890726272731,0.595297773873707,5.84397828348904,5.09686754315741e-09,2.53599643929636e-07
"LGI1",36.0204108234246,3.47344715046328,0.436098456675945,7.96482330375298,1.65460035367762e-15,5.01151138191076e-13
"NBLA00301",68.5896070750948,3.46936435038051,0.654384789871029,5.3017191170722,1.14717249583927e-07,3.48135606543751e-06
"CD177",6772.65032941143,3.44444399755972,0.715596144846844,4.81339093616403,1.48390600500253e-06,2.95827136151102e-05
"SCGN",161.002811356864,3.41254530723751,0.518060515774523,6.58715575367794,4.48331903934268e-11,4.37081575219918e-09
"STMN4",12.6499781375797,3.41183412755133,0.486832713378822,7.00822692023256,2.4135713914277e-12,3.43818204102146e-10
"CNR1",433.153597018376,3.38830351539736,0.526741861839214,6.43256927324227,1.25464818718214e-10,1.03548305543707e-08
"GUCA2B",516.454019045506,3.38214334907065,0.603293573396373,5.60613190362717,2.06898309567645e-08,8.36088933106452e-07
"CLDN8",869.371448398217,3.37959357185293,0.831224860136414,4.06579944119849,4.7868088715477e-05,0.000513175520156954
"PCSK2",77.9446535676231,3.36599755479318,0.445482572044757,7.55584565147703,4.16147107946525e-14,9.01565369903315e-12
"MIR3193",1.83814012727513,3.35637462813058,0.963873353534884,3.48217389330403,0.000497360598906766,0.0034581806934118
"ENSG00000258537.1",3.71518002677511,3.341853131466,0.756587823704578,4.41700623082044,1.00077346452366e-05,0.000141914226239748
"FRMD6-AS2",3.71518002677511,3.341853131466,0.756587823704578,4.41700623082044,1.00077346452366e-05,0.000141914226239748
"SYNM",11384.6257518505,3.32837508636996,0.767646339940342,4.33581834914842,1.45218833972898e-05,0.000192373331781422
"TMIGD1",650.999646548605,3.32714791539213,0.612814876620772,5.42928711805908,5.65795972565019e-08,1.93968537979241e-06
"ENSG00000261054.1",3724.39289580204,3.31776767607907,0.772108591666585,4.29702209234289,1.73107948351359e-05,0.00022114859396877
"ENSG00000234165.1",3.15371667966602,3.31563241505265,0.867081484645402,3.82389945324297,0.000131357500401228,0.00116419316477759
"PRIMA1",175.050580869335,3.28111734496886,0.483740529910962,6.78280429711521,1.17865253881427e-11,1.38234673884921e-09
"ENSG00000224223.1",18.3004964357431,3.25498996352558,0.545085192199685,5.97152520395961,2.35045740161665e-09,1.30243729233099e-07
"LOC285878",18.3004964357431,3.25498996352558,0.545085192199685,5.97152520395961,2.35045740161665e-09,1.30243729233099e-07
"SCN7A",1400.87578110456,3.25255542856891,0.748369856668232,4.34618711535149,1.38524412051596e-05,0.000185156216057139
"ENSG00000237125.4",610.458182643937,3.25211752181837,0.610118507965221,5.33030465288516,9.80481482002307e-08,3.04662159303048e-06
"C14orf39",3.11409471649674,3.24801964930134,0.923304753450649,3.51781969838516,0.000435107886675155,0.00310051638661599
"ENSG00000249106.1",6.12184644291166,3.23336640544188,0.693091319111765,4.66513764677592,3.08410520010994e-06,5.36314548092696e-05
"CHGA",3176.64278975604,3.19122451634202,0.561636165366796,5.68201393202284,1.33117814188315e-08,5.80010677267161e-07
"TPH1",205.437163304333,3.19064065446914,0.392486827942658,8.12929358978459,4.31799345096478e-16,1.51357799651402e-13
"SLITRK3",48.882600075114,3.18995001508722,0.549065916790364,5.80977605336439,6.25564649863289e-09,3.06369550734459e-07
"ENSG00000234445.1",4.442822178103,3.18330918053308,0.672585516759883,4.73294339709896,2.2128721368751e-06,4.13504445092514e-05
"PI16",237.671557000387,3.17704730258258,0.562866744458505,5.64440399767977,1.65754439874232e-08,6.97846323988722e-07
"ENSG00000259478.2",29.1389298316686,3.17576430054507,1.05832961200167,3.00073272497647,0.00269330854475688,0.013491192464801
"NLGN1",100.542918383235,3.17280738170991,0.565808519959378,5.60756381317429,2.05194367642952e-08,8.30278688373174e-07
"C2orf40",48.2926478673367,3.1675951859899,0.602141227823223,5.2605519097919,1.43623649081304e-07,4.20716148393375e-06
"RMST",14.0196028943336,3.16544835665878,0.762577341825613,4.15098663839222,3.31045094173432e-05,0.000377747395864248
"XKR4",128.280174036046,3.16167328278771,0.448587597570502,7.04806218431131,1.81426564765711e-12,2.76095831268092e-10
"SGCG",10.1887124376345,3.15631072934259,0.562292688526135,5.61328787257721,1.9851792654834e-08,8.09563889480858e-07
"ENSG00000224795.1",2.4120729153907,3.14366229224751,0.82733229896228,3.79975772273196,0.000144837617195796,0.00125583633787027
"ENSG00000270907.1",85.7881403149118,3.14212226985499,0.456324410135632,6.88572033418301,5.74958473241241e-12,7.47374145404458e-10
"C21orf88",351.121809434515,3.13483114818571,0.787071759730393,3.98290385778741,6.80783010846465e-05,0.000685109277076683
"MT1JP",2.87284755648374,3.12728640679448,0.895337473116061,3.49285772202802,0.000477881052256902,0.00335021464882215
"PTCHD1",159.571571203056,3.11333464768855,0.500942772670944,6.21495072398942,5.13407587617861e-10,3.45934697859922e-08
