"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","113/2657","339/18986",0.333333333333333,2.38188433069878,10.355911717124,6.62612827928127e-20,2.27211080163836e-16,1.65230950192518e-16,"1301/4316/25975/1277/4320/9509/81792/10630/1294/4312/1805/4314/1278/1303/4982/7045/2191/1290/4323/4321/4322/23213/4017/5351/1282/871/6662/60681/80781/3249/1295/861/10459/283208/183/1289/84627/285590/1281/2824/25890/25903/1311/79709/8425/6624/4319/8985/1300/10218/1310/23127/4015/1513/4016/50509/4313/7133/79148/256764/64856/5650/4147/60495/5033/10549/8516/11174/3381/4629/4318/5345/165/5268/22795/2295/1284/85301/4060/84168/64066/84830/55612/26585/1297/4148/3569/169044/57188/10631/7837/92949/55512/7049/101/9507/4317/1215/5340/1306/2296/5212/1288/7092/4239/2192/171019/1287/857/8313/7490/1758/1280",113
"GO:0043062","GO:0043062","extracellular structure organization","113/2657","340/18986",0.332352941176471,2.37487878854967,10.3188741023186,8.58789092377216e-20,2.27211080163836e-16,1.65230950192518e-16,"1301/4316/25975/1277/4320/9509/81792/10630/1294/4312/1805/4314/1278/1303/4982/7045/2191/1290/4323/4321/4322/23213/4017/5351/1282/871/6662/60681/80781/3249/1295/861/10459/283208/183/1289/84627/285590/1281/2824/25890/25903/1311/79709/8425/6624/4319/8985/1300/10218/1310/23127/4015/1513/4016/50509/4313/7133/79148/256764/64856/5650/4147/60495/5033/10549/8516/11174/3381/4629/4318/5345/165/5268/22795/2295/1284/85301/4060/84168/64066/84830/55612/26585/1297/4148/3569/169044/57188/10631/7837/92949/55512/7049/101/9507/4317/1215/5340/1306/2296/5212/1288/7092/4239/2192/171019/1287/857/8313/7490/1758/1280",113
"GO:0045229","GO:0045229","external encapsulating structure organization","113/2657","341/18986",0.331378299120235,2.3679143346243,10.2819663852626,1.1114189474833e-19,2.27211080163836e-16,1.65230950192518e-16,"1301/4316/25975/1277/4320/9509/81792/10630/1294/4312/1805/4314/1278/1303/4982/7045/2191/1290/4323/4321/4322/23213/4017/5351/1282/871/6662/60681/80781/3249/1295/861/10459/283208/183/1289/84627/285590/1281/2824/25890/25903/1311/79709/8425/6624/4319/8985/1300/10218/1310/23127/4015/1513/4016/50509/4313/7133/79148/256764/64856/5650/4147/60495/5033/10549/8516/11174/3381/4629/4318/5345/165/5268/22795/2295/1284/85301/4060/84168/64066/84830/55612/26585/1297/4148/3569/169044/57188/10631/7837/92949/55512/7049/101/9507/4317/1215/5340/1306/2296/5212/1288/7092/4239/2192/171019/1287/857/8313/7490/1758/1280",113
"GO:0003012","GO:0003012","muscle system process","126/2657","465/18986",0.270967741935484,1.93624145592288,8.24524208656559,4.753583162914e-14,7.28843138453789e-11,5.30024522664911e-11,"5021/9569/23213/148/6781/9456/4653/183/8877/2946/1909/10874/2023/1113/29119/32/221476/1311/3352/10848/477/56923/6263/407975/776/29995/60675/9499/2149/51676/5348/57057/4842/8811/2775/3553/6641/7133/5743/1908/3952/7171/287/51761/2660/9631/8654/1756/6335/7138/6332/23336/7137/6328/25802/6752/2934/1907/4629/114907/59341/3363/6833/154/3778/5028/80149/6588/9472/2146/783/9464/5023/7140/3320/6865/51086/8470/1837/4634/11280/6547/4638/4660/6261/4622/5152/3741/6327/29767/2702/92241/3815/6546/6338/1410/93649/30819/493/2697/10398/1264/3736/22953/6442/3479/8082/5350/23676/845/6330/3488/6525/2668/844/406952/7168/8735/857/150/1674/2258/1129/442721/1813/796",126
"GO:0015711","GO:0015711","organic anion transport","125/2657","462/18986",0.270562770562771,1.93334767102174,8.19253552288386,6.75352808425693e-14,8.28387754814955e-11,6.02414705115718e-11,"28231/23657/80131/266675/8140/80727/9429/6520/28234/83959/9075/10050/246213/2167/6556/206358/6533/63910/57181/2172/28965/6581/123264/32/55089/3552/477/56923/126321/1836/366/11254/9963/948/57282/8647/10227/553/54659/6510/8884/8671/1374/4282/3553/2169/6513/9058/81893/79581/1381/347734/5743/6522/3952/4828/55117/117247/115019/340146/81034/6541/10998/2168/225/57709/1811/347051/2182/64849/5375/6515/6573/83884/6833/200931/1109/338821/4036/6517/6554/54831/320/6860/1244/9536/387700/7957/220963/81796/2180/55867/10434/7057/2697/762/283375/55065/10599/6812/1066/54716/50487/2350/8660/2348/9123/353189/9194/115111/10991/64600/3351/388323/1382/8431/283600/5243/53919/160728/6514/92745/6579/1813/6568",125
"GO:0006936","GO:0006936","muscle contraction","102/2657","358/18986",0.284916201117318,2.03591230501069,7.98183367892926,4.57296910302597e-13,4.67433658480971e-10,3.39924036658264e-10,"5021/23213/148/6781/9456/8877/2946/1909/10874/2023/1113/29119/1311/3352/10848/477/56923/6263/776/60675/9499/2149/5348/57057/4842/8811/2775/6641/5743/1908/7171/287/51761/9631/8654/1756/6335/7138/6332/23336/7137/6328/25802/6752/2934/1907/4629/59341/3363/154/3778/80149/783/5023/7140/3320/6865/51086/1837/4634/11280/6547/4638/4660/6261/4622/3741/6327/29767/2702/92241/3815/6546/6338/1410/93649/30819/493/2697/10398/1264/3736/22953/6442/8082/5350/23676/845/6330/6525/2668/844/7168/8735/857/150/1674/2258/1129/442721/1813/796",102
"GO:0046942","GO:0046942","carboxylic acid transport","101/2657","357/18986",0.282913165266106,2.0215993058872,7.86033778104722,9.5575818490795e-13,8.37380706862922e-10,6.08954500669922e-10,"28231/23657/80131/8140/80727/9429/6520/28234/9075/246213/2167/6556/206358/6533/2172/28965/6581/123264/32/55089/3552/477/56923/126321/1836/366/11254/9963/948/8647/553/54659/6510/8884/1374/4282/3553/2169/6513/9058/81893/1381/5743/3952/4828/55117/117247/115019/81034/6541/10998/2168/225/57709/1811/347051/2182/64849/5375/6573/83884/6833/200931/1109/338821/4036/6554/320/6860/1244/9536/387700/7957/220963/2180/55867/10434/7057/2697/10599/6812/1066/54716/50487/2350/8660/2348/9123/9194/115111/10991/64600/3351/1382/8431/5243/53919/160728/92745/6579/1813",101
"GO:0015849","GO:0015849","organic acid transport","101/2657","358/18986",0.282122905027933,2.01595238045176,7.82803996752847,1.15165152628983e-12,8.82884851341939e-10,6.42045725906579e-10,"28231/23657/80131/8140/80727/9429/6520/28234/9075/246213/2167/6556/206358/6533/2172/28965/6581/123264/32/55089/3552/477/56923/126321/1836/366/11254/9963/948/8647/553/54659/6510/8884/1374/4282/3553/2169/6513/9058/81893/1381/5743/3952/4828/55117/117247/115019/81034/6541/10998/2168/225/57709/1811/347051/2182/64849/5375/6573/83884/6833/200931/1109/338821/4036/6554/320/6860/1244/9536/387700/7957/220963/2180/55867/10434/7057/2697/10599/6812/1066/54716/50487/2350/8660/2348/9123/9194/115111/10991/64600/3351/1382/8431/5243/53919/160728/92745/6579/1813",101
"GO:0140014","GO:0140014","mitotic nuclear division","85/2657","282/18986",0.301418439716312,2.15383157563188,7.87446415339545,1.52046228895247e-12,1.03611057979394e-09,7.53473534303113e-10,"54443/2069/84722/11065/9319/27338/8556/22974/332/9088/4751/29127/6790/4085/10459/11004/113130/8877/9928/221150/1063/9055/4605/991/83540/3552/5347/5901/699/8850/1111/9493/24137/90417/29128/440145/23212/995/55143/891/983/1104/7272/146909/55055/5159/2491/10419/9212/3553/81930/9787/23397/147841/9700/27085/54892/9918/1908/220134/701/1062/56992/81620/57405/23310/54820/157313/51203/11130/3619/10615/11200/3832/10403/5902/4288/655/64151/255324/286053/55512/26271/79998/3479",85
"GO:0030199","GO:0030199","collagen fibril organization","35/2657","72/18986",0.486111111111111,3.47358131560239,8.48246411540196,2.19177879710208e-12,1.34421793626271e-09,9.77533343507528e-10,"1301/1277/4320/9509/81792/1805/1278/1303/1290/4017/5351/871/60681/80781/283208/1289/1281/1311/79709/8985/23127/4015/4016/50509/5033/5345/165/85301/4060/26585/7837/2296/7092/171019/1280",35
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","48/2657","121/18986",0.396694214876033,2.83463920347624,8.16650501884846,2.62153028535811e-12,1.46162229455466e-09,1.0629113702452e-09,"2069/11065/9319/332/9088/4751/6790/4085/10459/8877/221150/1063/991/83540/3552/5347/699/1111/995/55143/891/1104/7272/55055/5159/10419/9212/3553/9787/147841/9700/27085/1908/220134/701/57405/157313/51203/11130/3619/10403/4288/655/255324/286053/55512/26271/3479",48
"GO:0003018","GO:0003018","vascular process in circulatory system","83/2657","276/18986",0.300724637681159,2.14887390704347,7.75552668805222,3.18293549588685e-12,1.62674528302284e-09,1.18299102597128e-09,"145741/6584/8140/5021/7422/9429/11156/148/6533/183/1909/6581/6456/1311/3352/477/8850/8985/948/2149/553/6510/8884/4842/8671/6513/5138/4313/5743/1908/3952/388125/2828/6648/185/6541/153/64849/6515/1907/5345/59341/3363/6573/6833/154/3778/5028/5023/6865/4036/6517/3741/2702/1244/387700/6546/6338/9153/133/6543/493/3043/2296/3779/4881/54716/482/9194/10991/79987/4922/3351/10800/3274/857/150/5243/53919/2244/92745/796/9353",83
"GO:0051783","GO:0051783","regulation of nuclear division","55/2657","151/18986",0.364238410596026,2.60272128851192,7.97599642021869,4.07075588961217e-12,1.92045737469165e-09,1.39658240520541e-09,"2069/11065/9319/7474/332/9088/4488/4751/3976/6790/4085/10459/8877/221150/1063/991/10635/83540/3552/5347/699/1111/995/55143/891/1104/7272/55055/5159/4487/10419/9212/3553/9787/147841/9700/27085/1908/220134/701/57405/2827/157313/51203/11130/3619/10403/4288/655/255324/286053/55512/26271/1618/3479",55
"GO:0015850","GO:0015850","organic hydroxy compound transport","85/2657","292/18986",0.291095890410959,2.08007022030202,7.50263090785954,1.1868018905224e-11,5.19903999612419e-09,3.78081173694992e-09,"9370/5021/6696/28234/64220/6387/1268/183/2824/225689/6581/364/10351/123264/3745/1113/57655/32/366/7052/9388/6469/948/26154/114881/4129/51083/27346/8647/10227/1191/255738/114876/4842/2587/23461/1588/6804/4828/185/10998/347051/54209/6623/5028/200931/1109/338821/5023/64240/341/6554/4481/5579/6860/1244/359/3949/9607/54762/115584/140/10599/1066/338/9066/9123/9194/3351/3990/154664/8431/2668/406952/857/26281/2865/150/53919/160728/360/3737/6579/344/1813",85
"GO:0090068","GO:0090068","positive regulation of cell cycle process","81/2657","274/18986",0.295620437956204,2.11240106700659,7.48165809064971,1.52796763982307e-11,6.0584920343084e-09,4.40581680629634e-09,"2069/11065/7474/1894/8556/332/4488/994/6755/29127/6790/4085/1019/113130/8877/9928/221150/225689/991/10635/11113/3552/990/699/8850/9493/1663/995/55143/891/983/55920/6491/5159/595/57057/4487/9212/3553/993/9787/23397/8444/9700/27085/54892/51514/9918/1908/220134/6241/144455/10733/898/2237/23310/51203/51176/3619/10615/10403/5902/2146/64151/9134/255324/286053/55512/29899/8929/3741/26271/6840/81610/5336/5087/1618/3479/407006/117194/1813",81
"GO:0042445","GO:0042445","hormone metabolic process","74/2657","241/18986",0.307053941908714,2.19410091873498,7.52537445436486,1.58056208297627e-11,6.0584920343084e-09,4.40581680629634e-09,"3624/590/8614/5653/5126/6696/10202/1594/79154/9718/3249/5125/90527/405753/125/1734/7038/25825/6469/5959/54600/51083/54577/84649/54576/54659/54658/1513/9227/124/2690/6817/10699/1588/3952/51301/117247/29785/259307/50506/127/79644/57016/6715/54884/27284/3091/4224/619373/1109/1508/83539/1646/2099/130/8528/1215/6338/653/133/1558/3294/3972/1576/115111/126/1583/27344/1382/10170/2865/53919/169026/54905",74
"GO:0015718","GO:0015718","monocarboxylic acid transport","60/2657","179/18986",0.335195530726257,2.3951909470714,7.56522216384524,2.48252852156615e-11,8.95608671927363e-09,6.51298659187354e-09,"28231/9429/28234/9075/2167/2172/28965/6581/123264/32/3552/56923/366/948/8647/553/54659/8884/1374/4282/3553/2169/6513/1381/5743/3952/4828/117247/10998/2168/225/347051/2182/5375/200931/1109/338821/6554/1244/9536/387700/220963/2180/55867/10434/7057/10599/1066/50487/8660/9123/9194/115111/64600/1382/8431/53919/160728/6579/1813",60
"GO:0001503","GO:0001503","ossification","115/2657","456/18986",0.25219298245614,1.80208353967342,6.99335539118164,8.9657678506102e-11,3.00669245393206e-08,2.18650714895434e-08,"1301/115908/1277/285313/81792/6422/7123/23601/7166/1278/147111/1290/6696/4323/7422/130497/7474/4322/1594/4488/22801/6781/6662/1051/596/861/1462/4653/5179/133522/7291/9188/7130/22904/2824/7704/340419/1009/23560/10514/1311/5764/2822/353500/1836/63979/651/8519/54857/6469/374/6615/7477/51025/865/25805/4015/1513/4313/3336/5743/7020/3952/5745/7171/6096/3381/22943/58476/3091/51176/2254/154/1969/6320/4208/26585/202151/2263/9464/655/3569/4435/79412/55512/6261/26271/4192/9365/6546/653/5087/2194/25884/2697/10272/2296/2268/1591/100033819/134701/8326/3479/6474/30812/249/3488/406952/6348/9636/2737/8313/1758/796/1280",115
"GO:0000280","GO:0000280","nuclear division","114/2657","451/18986",0.252771618625277,1.80621827294675,6.98981846048613,9.31471655384138e-11,3.00669245393206e-08,2.18650714895434e-08,"54443/2069/84722/11065/9319/27338/1164/7474/8556/22974/332/9088/4488/4751/3976/994/29127/6790/4085/10459/11004/113130/8877/9928/221150/1063/9055/225689/4605/991/10635/83540/3552/5347/5901/699/8850/1111/9493/24137/90417/29128/25879/440145/23212/7153/63979/995/55143/891/983/1104/7272/146909/55055/5159/4487/2491/10419/9212/3553/81930/9787/9232/23397/147841/9700/27085/259266/54892/8438/9918/1908/220134/701/1062/56992/81620/84944/57405/84057/9133/2827/898/25788/23310/54820/157313/56159/51203/11130/675/3619/10615/11200/3832/10403/5902/4288/655/64151/9134/255324/286053/55512/140801/26271/11077/317761/1618/79998/3479/164045/56158",114
"GO:0042886","GO:0042886","amide transport","90/2657","328/18986",0.274390243902439,1.96069746734351,7.07965845881622,9.88761692038623e-11,3.03203772863644e-08,2.20493857324613e-08,"4316/23657/6422/3651/4760/9429/3557/6659/7036/6755/1268/364/3745/1113/2822/353500/366/343/26154/51083/111/8884/2867/1946/1374/2775/3553/91608/130399/2641/1908/3952/6804/6279/117247/760/80157/81034/222546/30835/2182/64849/7425/3091/2044/59341/6573/7447/6833/9699/3814/114131/6352/3569/6865/1393/4036/55512/3741/5579/7380/10815/9607/2151/2697/3767/3170/2350/9066/8660/2348/27445/10991/388323/154664/8431/283600/6616/2865/6343/150/5243/6514/360/2244/169026/92745/1813/9971/3670",90
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","62/2657","194/18986",0.319587628865979,2.28366229644316,7.24913907614965,1.11365719573428e-10,3.25240932449446e-08,2.36519575855948e-08,"84722/11065/9319/22974/332/4751/29127/4085/10459/11004/113130/9928/221150/1063/9055/4605/991/83540/5347/5901/699/8850/9493/24137/90417/29128/440145/23212/55143/891/983/1104/7272/146909/55055/2491/9212/81930/9787/23397/147841/9700/54892/9918/220134/701/1062/56992/81620/57405/23310/51203/11130/3619/10615/11200/3832/10403/64151/286053/26271/79998",62
"GO:0051216","GO:0051216","cartilage development","65/2657","209/18986",0.311004784688995,2.2223322702692,7.16754784890127,1.46693812453282e-10,4.08942341716353e-08,2.97388365246199e-08,"1301/1277/81792/633/1116/7045/5593/130497/7474/4322/23213/4017/8692/4488/871/6781/7076/6662/861/1281/7704/340419/1311/2822/353500/8372/1836/651/6615/388585/7477/1833/4487/1513/389125/2690/85477/3952/5745/5396/81029/3696/3091/4094/59341/2254/579/85301/4208/26585/9464/655/4148/55512/4192/653/4969/25884/9421/55553/6474/54206/2737/8313/1280",65
"GO:1905818","GO:1905818","regulation of chromosome separation","33/2657","77/18986",0.428571428571429,3.06242271089843,7.31492786016666,6.16115618796028e-10,1.64288569133741e-07,1.1947285477523e-07,"11065/9319/332/4085/10459/221150/1063/225689/991/83540/5347/699/55143/891/7272/55055/9212/9787/23397/147841/9700/54892/9918/220134/701/57405/23310/11130/3619/10403/64151/286053/26271",33
