"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","77/1419","233/9399",0.330472103004292,2.18894101207705,7.74918117188244,3.18526099397534e-12,8.36711448945798e-10,6.76334393960108e-10,"1301/1277/633/1278/6712/1290/81624/1282/22801/375790/1462/7058/1289/161176/1281/22989/2023/6445/1311/477/2273/84823/51332/9499/11155/6641/50509/8736/7171/1293/287/23500/10529/288/3695/1756/7138/7137/8516/25802/127294/3696/4629/270/22795/1284/85301/478/1297/7140/1837/4634/4622/171024/29767/72/7057/10398/1288/4892/1465/2192/482/2335/3679/6442/8082/1287/165904/343263/7168/8735/1674/2318/137868/442721/3678",77
"hsa04976","Organismal Systems","Digestive system","hsa04976","Bile secretion","41/1419","90/9399",0.455555555555556,3.0174536058257,8.10925147094861,4.79490801688136e-12,8.36711448945798e-10,6.76334393960108e-10,"9429/28234/123264/477/366/343/54575/54600/54579/54657/54577/8647/54576/54578/54659/111/54658/8671/6513/6522/760/10998/361/6344/478/200931/64240/6554/570/1244/5567/3949/10599/1576/108/482/8431/6343/5243/6579/9971",41
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","102/1419","371/9399",0.274932614555256,1.82106528837551,6.80418861827321,2.61742117852599e-10,3.0449333043519e-08,2.4612943012104e-08,"2906/8862/90226/5021/2899/9340/2796/4852/148/6750/6755/1268/2903/5179/183/117/7068/2563/1909/10874/3352/2564/56923/2358/2357/2893/7433/2149/51083/27346/553/8811/2904/2587/5367/2690/2641/387129/1908/3952/5745/3360/4828/53637/1902/185/5540/2565/4985/153/5729/6752/64106/7425/1907/3363/6344/154/3814/5028/114131/5697/5023/6865/130576/5732/66004/1132/4887/283869/2556/728/5340/2898/133/2151/2566/2901/3972/140/22953/4543/4922/7252/3351/2891/10800/3274/3061/27334/5617/55879/6343/150/5030/2918/2892/2555/1129/1813/796/4886",102
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","41/1419","103/9399",0.398058252427184,2.63660994683799,7.04244094063168,8.23191615407283e-10,7.18234684442854e-08,5.8056671823461e-08,"1301/1277/1294/1278/1303/1290/6520/1282/80781/1295/206358/1289/1281/4225/477/340024/1300/6510/3783/1310/50509/1293/117247/81578/4224/1284/85301/478/1297/84570/169044/6547/1360/6546/6543/1306/1288/482/1287/7512/1280",41
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","51/1419","158/9399",0.322784810126582,2.13802285439024,6.08313584017957,3.68983065296118e-08,2.5755017957669e-06,2.08184129472336e-06,"9319/8556/23594/9088/994/4085/1017/10459/1019/113130/1869/4609/4171/991/1029/5347/990/699/1111/1663/90381/995/891/983/7272/5111/595/9212/993/9232/4172/1871/9700/27085/6502/890/4175/4176/701/4173/81620/8318/9133/898/11200/10403/1030/5591/9134/4998/26271",51
"hsa00982","Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","27/1419","73/9399",0.36986301369863,2.44985374612644,5.24379121840228,3.4247759901789e-06,0.000199207803428739,0.00016102455532771,"125/2946/2949/54575/54600/54579/54657/4129/54577/54576/54578/54659/54658/124/2329/27306/4128/127/2330/222/130/1558/1576/1555/126/2938/2326",27
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","46/1419","160/9399",0.2875,1.90430761099366,4.86486917952327,6.3861919912666e-06,0.000318397286421721,0.000257368338896158,"1001/9076/3135/9075/57863/1462/22865/22871/4359/152404/80381/257194/9378/9080/58494/6900/57502/22854/23562/3695/5817/137075/8516/5802/3696/4684/1272/3383/9073/6401/5010/9069/23114/84189/54413/29126/6614/959/925/10686/926/8174/84631/9074/9369/57689",46
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","26/1419","76/9399",0.342105263157895,2.26599532658284,4.67270677704076,2.60114617938292e-05,0.00101139538922776,0.000817535708982173,"5346/9370/4312/4973/6258/2167/2172/28965/364/729359/948/9415/1374/2169/33/10998/2168/2182/23205/6319/5105/2710/10580/2180/4199/3158",26
"hsa04610","Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","29/1419","89/9399",0.325842696629214,2.15827731192246,4.62956498653071,2.60818295216328e-05,0.00101139538922776,0.000817535708982173,"5328/1675/5054/725/5329/1604/722/2149/5055/1191/729/5270/730/10544/5345/84830/2162/3687/3426/4179/2161/728/5340/2151/2155/3818/2159/2244/5648",29
"hsa04082",NA,NA,"hsa04082","Neuroactive ligand signaling","52/1419","199/9399",0.261306532663317,1.73081050070649,4.39384645115435,3.18396053152757e-05,0.00111120222550312,0.000898212023630935,"2906/2899/148/246213/2903/5179/63910/60482/2563/2788/3352/2564/2893/111/2775/2904/3360/2565/4985/153/3363/154/5028/64805/5023/6865/3359/1132/2556/5579/5567/285242/2898/2566/2901/140/108/22953/2792/1103/3351/2891/3274/55879/150/5030/2918/2892/2555/1129/1813/2786",52
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","32/1419","105/9399",0.304761904761905,2.0186449209705,4.4261243591151,4.60121080499953e-05,0.00145983870085894,0.0011800234408994,"22801/183/6445/776/111/4842/6641/7171/3695/1756/153/7137/8516/3696/783/1837/4634/6547/6546/5567/6543/108/59283/3679/6442/3479/8082/5350/7168/1674/137868/3678",32
"hsa00140","Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","23/1419","66/9399",0.348484848484849,2.30825164968928,4.49738532346931,5.39503117486828e-05,0.00156905490002419,0.00126830557444272,"79154/54575/5959/54600/54579/54657/54577/54576/54578/54659/54658/3291/1588/79644/6820/6715/1109/1646/3290/3294/1576/1583/10170",23
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","70/1419","298/9399",0.23489932885906,1.55589766874299,4.11212113845301,6.92550247765015e-05,0.00185923104976916,0.00150286207612165,"3624/3589/6373/51330/2919/4982/3977/6374/3627/2921/3557/6372/3976/6387/8771/9518/5008/3590/1271/9966/3552/2920/1437/353500/6369/651/58191/3579/3553/1237/3577/8744/1441/2690/1440/130399/7133/3952/2660/3598/8794/3556/23495/6362/6358/4283/6352/943/655/3569/51561/6368/10344/6375/653/85480/3603/959/7292/6846/608/939/56300/5617/356/6348/268/6364/90865/3605",70
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","56/1419","226/9399",0.247787610619469,1.64126550543509,4.11475398454063,8.0253670026414e-05,0.00187606217053933,0.00151646708401309,"2906/5021/8843/4852/6750/6662/338442/6755/2903/117/1909/3352/477/776/2893/2149/111/5348/2867/2904/51196/2641/1261/1908/3360/153/7137/6752/5602/1907/154/814/64399/478/5732/5143/64091/5567/493/10398/3972/4881/10846/108/482/7252/3351/2891/5350/2737/2892/268/1129/1813/4886/810",56
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","29/1419","94/9399",0.308510638297872,2.04347532724574,4.28741373773801,8.06330445790543e-05,0.00187606217053933,0.00151646708401309,"4312/4314/2919/6374/3627/4322/2921/6372/1051/225689/2920/1437/3326/3553/6280/1440/5743/8061/6279/5602/4318/5596/3320/3569/2354/1673/6364/3605/3934",29
"hsa00830","Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","23/1419","68/9399",0.338235294117647,2.24036189528666,4.32858798874281,9.16235117185335e-05,0.00199853784936051,0.00161546718030046,"125/54575/5959/54600/54579/54657/54577/54576/54578/54659/54658/9227/124/29785/127/54884/130/1558/1576/1555/126/10170/54905",23
