"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.051282051282051","0.06864650943598313","0.48750000000000004","0.5555555555555556","18","4","false","ACAN","11.333333333333334","0","18","9","0.9342948717948718","false","0","ACAN","338","0.37777777777777777"
"1.9743589743589745","0.10855048947154215","0.5064935064935064","0.4095238095238095","30","4","false","COL1A1","8.533333333333333","0","30","15","0.9391025641025641","false","0","COL1A1","544","0.3047619047619048"
"2.4358974358974357","0.014693785746417321","0.41052631578947374","0.6428571428571429","16","4","false","ADAMTS2","10.125","0","16","8","0.9102564102564102","false","0","ADAMTS2","92","0.4602272727272727"
"1.8461538461538463","0.34186400831137675","0.5416666666666666","0.22857142857142856","30","4","false","MMP7","6.733333333333333","0","30","15","0.9471153846153846","false","0","MMP7","1090","0.22528735632183908"
"1.8205128205128205","0.16820389649337023","0.5492957746478874","0.38095238095238093","30","3","false","MMP3","8.4","0","30","15","0.9487179487179487","false","0","MMP3","646","0.2777777777777778"
"1.8974358974358974","0.10930022706338496","0.5270270270270271","0.35833333333333334","32","4","false","MMP1","7.9375","0","32","16","0.9439102564102564","false","0","MMP1","488","0.27370689655172414"
"2.1025641025641026","0.11283229441124179","0.47560975609756095","0.3717948717948718","26","4","false","BGN","8.0","0","26","13","0.9310897435897436","false","0","BGN","488","0.3047337278106509"
"2.1538461538461537","0.03175085148769359","0.4642857142857143","0.5454545454545454","24","4","false","COL11A1","9.416666666666666","0","24","12","0.9278846153846154","false","0","COL11A1","210","0.36217948717948717"
"2.128205128205128","0.22346892873208657","0.46987951807228917","0.2","12","4","false","ADIPOQ","7.666666666666667","0","12","6","0.9294871794871795","false","0","ADIPOQ","622","0.27564102564102566"
"2.948717948717949","0.0","0.3391304347826087","1.0","4","5","false","ADAMTS12","8.5","0","4","2","0.8782051282051282","false","0","ADAMTS12","0","0.7727272727272727"
"2.2051282051282053","0.010420816999764366","0.45348837209302323","0.6785714285714286","16","4","false","ADAM12","11.625","0","16","8","0.9246794871794872","false","0","ADAM12","78","0.4305555555555556"
"2.3076923076923075","0.004950410213568108","0.43333333333333335","0.8","12","4","false","MMP11","12.0","0","12","6","0.9182692307692308","false","0","MMP11","34","0.48"
"2.41025641025641","0.0418578497525866","0.41489361702127664","0.5333333333333333","12","4","false","SFRP1","9.666666666666666","0","12","6","0.9118589743589743","false","0","SFRP1","148","0.41304347826086957"
"2.2564102564102564","0.006944176681018788","0.4431818181818182","0.8095238095238095","14","4","false","COL7A1","13.428571428571429","0","14","7","0.921474358974359","false","0","COL7A1","62","0.4973544973544973"
"2.769230769230769","0.058029689608636977","0.3611111111111111","0.0","6","5","false","WNT2","4.333333333333333","0","6","3","0.8894230769230769","false","0","WNT2","152","0.3333333333333333"
"3.1025641025641026","0.0","0.32231404958677684","0.0","2","5","false","PLIN1","6.0","0","2","1","0.8685897435897436","false","0","PLIN1","0","0.0"
"2.871794871794872","0.10144913565966193","0.3482142857142857","0.0","6","4","false","APLN","3.0","0","6","3","0.8830128205128205","false","0","APLN","284","0.3333333333333333"
"3.6666666666666665","0.017556712293554395","0.27272727272727276","0.0","4","5","false","MDFI","3.0","0","4","2","0.8333333333333334","false","0","MDFI","46","0.5"
"3.8461538461538463","0.0","0.26","0.0","2","5","false","ESM1","3.0","0","2","1","0.8221153846153846","false","0","ESM1","0","0.0"
"1.0","0.0","1.0","0.0","2","1","false","ARFGAP1","1.0","0","2","1","1.0","false","0","ARFGAP1","0","0.0"
"1.0","0.0","1.0","0.0","2","1","false","KIF26B","1.0","0","2","1","1.0","false","0","KIF26B","0","0.0"
"1.0","0.0","1.0","1.0","4","1","false","BEST4","2.0","0","4","2","1.0","false","0","BEST4","0","1.0"
"1.0","0.0","1.0","1.0","4","1","false","OTOP2","2.0","0","4","2","1.0","false","0","OTOP2","0","1.0"
"1.0","0.0","1.0","1.0","4","1","false","CA7","2.0","0","4","2","1.0","false","0","CA7","0","1.0"
"2.282051282051282","0.13324979114452803","0.43820224719101125","0.5238095238095238","14","4","false","INHBA","11.0","0","14","7","0.9198717948717949","false","0","INHBA","616","0.4342857142857143"
"3.076923076923077","0.0","0.32499999999999996","0.0","2","5","false","CHPF","13.0","0","2","1","0.8701923076923077","false","0","CHPF","0","0.0"
"2.769230769230769","0.007931152667994773","0.3611111111111111","0.3333333333333333","6","5","false","DPT","10.0","0","6","3","0.8894230769230769","false","0","DPT","40","0.5686274509803921"
"2.7948717948717947","0.0","0.3577981651376147","1.0","6","5","false","CTHRC1","13.333333333333334","0","6","3","0.8878205128205128","false","0","CTHRC1","0","0.7843137254901961"
"2.8205128205128207","0.0","0.3545454545454545","1.0","4","5","false","MFAP2","14.0","0","4","2","0.8862179487179487","false","0","MFAP2","0","0.8235294117647058"
"3.7435897435897436","0.015162907268170425","0.2671232876712329","0.3333333333333333","6","6","false","CBX2","2.3333333333333335","0","6","3","0.828525641025641","false","0","CBX2","48","0.5"
"3.051282051282051","0.08748473748473747","0.3277310924369748","0.3333333333333333","6","5","false","SALL4","4.0","0","6","3","0.8717948717948718","false","0","SALL4","396","0.4074074074074074"
"3.923076923076923","0.0","0.25490196078431376","1.0","4","6","false","CBX8","3.0","0","4","2","0.8173076923076923","false","0","CBX8","0","0.75"
"3.641025641025641","0.0","0.2746478873239437","0.0","2","6","false","CDH3","4.0","0","2","1","0.8349358974358975","false","0","CDH3","0","0.0"
"2.6666666666666665","0.14979757085020243","0.375","0.0","8","5","false","CLDN1","4.5","0","8","4","0.8958333333333334","false","0","CLDN1","432","0.25"
"2.4871794871794872","0.0","0.4020618556701031","1.0","6","4","false","CHI3L1","15.333333333333334","0","6","3","0.907051282051282","false","0","CHI3L1","0","0.696969696969697"
"3.641025641025641","0.0","0.2746478873239437","0.0","2","6","false","STC2","4.0","0","2","1","0.8349358974358975","false","0","STC2","0","0.0"
"3.641025641025641","0.0","0.2746478873239437","0.0","2","6","false","TACSTD2","4.0","0","2","1","0.8349358974358975","false","0","TACSTD2","0","0.0"
"2.717948717948718","0.0059041835357624825","0.36792452830188677","0.0","4","5","false","CLEC3B","9.0","0","4","2","0.8926282051282051","false","0","CLEC3B","28","0.5333333333333333"
"2.0","0.0","0.5","0.0","2","3","false","CLEC5A","2.0","0","2","1","0.5","false","0","CLEC5A","0","0.0"
"1.3333333333333333","0.6666666666666666","0.75","0.0","4","2","false","OLR1","1.5","0","4","2","0.8333333333333334","false","0","OLR1","4","0.5"
"2.3846153846153846","0.0","0.41935483870967744","1.0","8","4","false","PLAU","15.25","0","8","4","0.9134615384615384","false","0","PLAU","0","0.61"
"2.4615384615384617","0.008559861191440137","0.40625","0.6666666666666666","6","4","false","CXCL11","12.666666666666666","0","6","3","0.9086538461538461","false","0","CXCL11","56","0.6031746031746031"
"3.7435897435897436","0.0","0.2671232876712329","0.0","2","6","false","EGFL6","3.0","0","2","1","0.828525641025641","false","0","EGFL6","0","0.0"
"2.3333333333333335","0.0","0.42857142857142855","0.0","2","3","false","ETFDH","3.0","0","2","1","0.7333333333333333","false","0","ETFDH","0","0.0"
"1.5","0.3333333333333333","0.6666666666666666","0.3333333333333333","6","2","false","SLC22A5","2.6666666666666665","0","6","3","0.9","false","0","SLC22A5","10","0.4666666666666667"
"2.8205128205128207","0.0","0.3545454545454545","0.0","2","5","false","ETV4","15.0","0","2","1","0.8862179487179487","false","0","ETV4","0","0.0"
"1.0","0.0","1.0","0.0","2","1","false","FOXQ1","1.0","0","2","1","1.0","false","0","FOXQ1","0","0.0"
"1.0","0.0","1.0","0.0","2","1","false","KRT80","1.0","0","2","1","1.0","false","0","KRT80","0","0.0"
"2.6666666666666665","0.0","0.375","1.0","4","4","false","IL11","15.5","0","4","2","0.8958333333333334","false","0","IL11","0","0.8157894736842105"
