#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAN	COL1A1	9606.ENSP00000387356	9606.ENSP00000225964	0	0	0	0	0.064	0.045	0	0.831	0.835
ACAN	ADAMTS2	9606.ENSP00000387356	9606.ENSP00000251582	0	0	0	0	0.118	0	0	0.526	0.564
ACAN	MMP7	9606.ENSP00000387356	9606.ENSP00000260227	0	0	0	0	0.044	0	0.400	0.436	0.648
ACAN	MMP3	9606.ENSP00000387356	9606.ENSP00000299855	0	0	0	0	0.045	0	0.400	0.842	0.902
ACAN	MMP1	9606.ENSP00000387356	9606.ENSP00000322788	0	0	0	0	0.045	0	0.400	0.704	0.815
ACAN	BGN	9606.ENSP00000387356	9606.ENSP00000327336	0	0	0	0	0.133	0.045	0	0.920	0.928
ACAN	COL11A1	9606.ENSP00000387356	9606.ENSP00000359114	0	0	0	0	0.117	0.045	0	0.572	0.607
ACAN	ADIPOQ	9606.ENSP00000387356	9606.ENSP00000389814	0	0	0	0	0.055	0	0	0.397	0.406
ACAN	ADAMTS12	9606.ENSP00000387356	9606.ENSP00000422554	0	0	0	0	0.062	0	0	0.448	0.460
ADAM12	MMP11	9606.ENSP00000357668	9606.ENSP00000215743	0	0	0	0	0.075	0	0	0.500	0.518
ADAM12	SFRP1	9606.ENSP00000357668	9606.ENSP00000220772	0	0	0	0	0	0	0	0.470	0.470
ADAM12	COL1A1	9606.ENSP00000357668	9606.ENSP00000225964	0	0	0	0	0.160	0	0	0.367	0.446
ADAM12	ADAMTS2	9606.ENSP00000357668	9606.ENSP00000251582	0	0	0	0.556	0.305	0	0	0.244	0.453
ADAM12	MMP7	9606.ENSP00000357668	9606.ENSP00000260227	0	0	0	0	0.042	0	0	0.404	0.405
ADAM12	MMP3	9606.ENSP00000357668	9606.ENSP00000299855	0	0	0	0	0.088	0	0	0.375	0.405
ADAM12	MMP1	9606.ENSP00000357668	9606.ENSP00000322788	0	0	0	0	0.097	0	0	0.546	0.573
ADAM12	COL11A1	9606.ENSP00000357668	9606.ENSP00000359114	0	0	0	0	0.245	0	0	0.386	0.516
ADAMTS12	ADAMTS2	9606.ENSP00000422554	9606.ENSP00000251582	0	0	0	0.721	0.263	0	0	0.229	0.408
ADAMTS12	ACAN	9606.ENSP00000422554	9606.ENSP00000387356	0	0	0	0	0.062	0	0	0.448	0.460
